Sampling Date,Sampling Site,Total Coliforms ,Total Coliforms ,Total Coliforms ,E. coli,E. coli,E. coli,,,
,,Small Well,Large Well,MPN/100ml,Small Well,Large Well,MPN/100ml,,,
01/28/2025,Site 3 PEAV@VICK,48/48,49/49,>2419.6,31/48,49/49,648.8,,,
,Site 4 LULL@LULL,48/48,49/49,>2419.6,19/48,48/49,260.3,,,
,,,,,,,,,,
01/29/2025,Site 1 PEAV@OLD B,45/48,49/49,1732.9,18/48,48/49,248.9,,,
,Site 2 PEAV@NDEC,48/49,49/49,>2419.6,40/48,49/49,1119.9,,,
,,,,,,,,,,
02/11/2025,Site 4 LULL@LULL,48/48,49/49,>2419.6,8/48,46/49,137.7,,,
,,,,,,,,,,
02/12/2025,Site 1 PEAV@OLD B,48/48,49/49,>2419.6,48/48,49/49,>2419.6,,,
,Site 2 PEAV@NDEC,48/48,49/49,>2419.6,48/48,49/49,>2419.6,,,
,Site 3 PEAV@VICK,48/48,49/49,>2419.6,48/48,49/49,>2419.6,,,
,,,,,,,,,,
02/13/2025,Site 3 PEAV@VICK,48/48,49/49,>2419.6,48/48,49/49,>2419.6,,,
,,,,,,,,,,
,,,,,,,,,,
