sample_date,site,tot_coli_small,tot_coli_large,tot_coli_conc,ecoli_small,ecoli_large,ecoli_conc,Incubation time/temperatre IN,Incubation time/temperature OUT,Tubidity (NTU),pH,Dilution 
01/28/2025,Site 3 PEAV@VICK,48/48,49/49,>2419.6,31/48,49/49,648.8,1/28/25 12:14 PM/ 35.0°C ,1/29/25              10:30 AM/ 35.0°C ,N/A,N/A,N/A
01/28/2025,Site 4 LULL@LULL,48/48,49/49,>2419.6,19/48,48/49,260.3,1/28/25 12:14 PM/ 35.0°C ,1/29/25              10:30 AM/ 35.0°C ,N/A,N/A,N/A
01/29/2025,Site 1 PEAV@OLDB,45/48,49/49,1732.9,18/48,48/49,248.9,1/2/25 11:25 AM/ 34.9°C ,1/30/25              12:24 PM/ 34.5°C ,N/A,N/A,N/A
01/29/2025,Site 2 PEAV@NDEC,48/49,49/49,>2419.6,40/48,49/49,1119.9,1/2/25 11:25 AM/ 34.9°C ,1/30/25              12:24 PM/ 34.5°C ,N/A,N/A,N/A
02/11/2025,Site 4 LULL@LULL,48/48,49/49,>2419.6,8/48,46/49,137.7,2/11/25 1:51 PM/ 34.9°C ,2/12/25 02:14 PM/ 34.7°C ,N/A,N/A,N/A
02/12/2025,Site 1 PEAV@OLDB,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/25 12:38 PM/ 35.0°C ,2/13/25 2:14 PM/ 34.7°C ,N/A,N/A,N/A
02/12/2025,Site 2 PEAV@NDEC,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/25 12:38 PM/ 35.0°C ,2/13/25 2:14 PM/ 34.7°C ,N/A,N/A,N/A
02/12/2025,Site 3 PEAV@VICK,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/25 12:38 PM/ 35.0°C ,2/13/25 2:14 PM/ 34.7°C ,N/A,N/A,N/A
02/13/2025,Site 3 PEAV@VICK,48/48,49/49,>2419.6,48/48,49/49,>2419.6,2/12/25 11:34 AM/ 33.4°C* ,2/12/25 12:05 PM/ 34.0°C*,N/A,N/A,N/A
02/19/2025,Control (Blank),0/48,0/49,0,0/48,0/49,0,2/19/25 12:48 PM/ 35.0°C ,2/20/25 1:02 PM/ 35.0°C ,N/A,N/A,N/A
02/26/2025,Site 1 PEAV@OLDB,11/48,49/49,2143,0/48,6/49,63,2/26/25 1:44 PM/35°C ,2/27/25 5:10PM/35°C ,<21,7.196,1:10
02/26/2025,Site 2 PEAV@NDEC,6/49,40/49,882,0/48,6/49,63,2/26/25 1:44 PM/35°C ,2/27/25 5:10PM/35°C ,<21,7.513,1:10
02/26/2025,Site 3 PEAV@VICK,7/48,44/49,1153,1/48,7/49,85,2/26/25 1:42 PM/35°C ,2/27/25 1:44 PM/35°C ,<21,7.586,1:10
02/26/2025,Site 4 LULL@LULL,3/48,39/49,767,0/48,3/49,31,2/26/25 1:44 PM/35°C ,2/27/25 1:44 PM/35°C ,<21,7.554,1:10
03/11/2025,Site 3 PEAV@VICK,32/48,49/49,6867,20/48,49/49,3448,3/11/25 10:49:00 AM 35.0°C,3/12/25 10:24:00 AM 34.9°C,6.63,7.586,1:10
03/12/2025,Site 4 LULL@LULL,5/48,37/49,733,1/48,5/49,63,3/12/25 12:37:00 PM 35.0°C,3/13/25 01:08:00 PM 35.0°C,1.92,7.574,1:10
03/12/2025,Site 1 PEAV@OLDB,5/48,45/49,1162,1/48,9/49,109,3/12/25 12:37:00 PM 35.0°C,3/13/25 01:08:00 PM 35.0°C,2.19,7.615,1:10
03/12/2025,Site 2 PEAV@NDEC,9/48,45/49,1314,2/48,10/49,132,3/12/25 12:37:00 PM 35.0°C,3/13/25 01:08:00 PM 35.0°C,3.22,7.538,1:10
